City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,pechenga,69.5259,31.1703,-3.78,88,16,7.27,RU,1681441159
282,stornoway,58.2093,-6.3865,2.74,93,68,0.51,GB,1681441159
283,jinan,36.6683,116.9972,20.47,57,93,7.01,CN,1681441160
284,longyearbyen,78.2186,15.6401,-1.09,80,75,2.06,SJ,1681441101
285,hobyo,5.3505,48.5268,28.2,75,100,4.28,SO,1681441160
286,port elizabeth,-33.918,25.5701,18.16,74,0,10.29,ZA,1681440967
287,perelyub,51.8667,50.3667,9.32,84,100,12.15,RU,1681441161
288,hokitika,-42.7167,170.9667,20.53,51,66,2.48,NZ,1681441161
289,bathurst,-33.4166,149.5806,21.65,55,20,0.45,AU,1681441161
290,saldanha,-33.0117,17.9442,12.03,84,0,5.86,ZA,1681441131
291,enumclaw,47.2043,-121.9915,8.04,76,100,0.45,US,1681441017
292,newport,51.5877,-2.9984,7.47,89,100,3.13,GB,1681440862
293,merauke,-8.4667,140.3333,29.09,72,97,3.12,ID,1681441162
294,lumeje,-11.55,20.7833,17.1,96,22,1.91,AO,1681441162
295,asau,46.4333,26.4,5.52,82,7,1.06,RO,1681441162
296,praia da vitoria,38.7333,-27.0667,17.14,88,75,6.33,PT,1681441163
297,parbatipur,25.6649,88.9247,31.91,22,74,3.99,BD,1681441163
298,iringa,-7.7667,35.7,14.74,95,100,1.69,TZ,1681441163
299,flinders,-34.5833,150.8552,21.77,78,45,2.68,AU,1681440981
300,sibolga,1.7427,98.7792,27.24,85,95,0.95,ID,1681440945
301,oranjestad,12.524,-70.027,25.97,83,20,8.75,AW,1681441140
302,georgetown,5.4112,100.3354,31.96,74,20,3.6,MY,1681440643
303,aljezur,37.3191,-8.8033,9.44,88,61,3.4,PT,1681441164
304,aksha,50.2814,113.2867,2.84,37,100,4.81,RU,1681441165
305,camacha,33.0833,-16.3333,15.68,63,75,5.66,PT,1681441165
306,derzhavinsk,51.1,66.3167,10.36,68,100,8.52,KZ,1681441165
307,nemuro,43.3236,145.575,6.92,75,6,4.74,JP,1681441165
308,broken hill,-31.95,141.4333,22.17,38,28,4.12,AU,1681441165
309,kandrian,-6.2167,149.55,28.91,74,100,2.08,PG,1681441166
310,kutum,14.2,24.6667,18.45,17,10,3.56,SD,1681441166
311,kadoma,34.7333,135.5833,22.0,40,0,3.09,JP,1681441166
312,sorong,-0.8833,131.25,29.54,71,17,4.06,ID,1681441166
313,karratha,-20.7377,116.8463,30.77,35,87,8.85,AU,1681441167
314,seymchan,62.8833,152.4333,-9.1,73,64,1.22,RU,1681441167
315,ha tinh,18.3333,105.9,31.3,65,98,2.07,VN,1681441167
